acft_type;acft_cat;in_block_hour;off_block_hour;total_time;turnaround _type;turnaround_qualifier;tow_type
A321;C;11;13;91;DD;JJ;1
A320;C;11;13;101;DD;JJ;1
B788;E;11;16;273;II;JJ;1
AT72;C;11;12;31;DD;JJ;1
E190;C;11;13;72;DD;JJ;1
A320;C;11;13;66;DD;JJ;1
A321;C;11;15;190;DD;JJ;1
AT72;C;12;12;27;DD;JJ;1
B737;C;12;13;107;DD;JJ;1
A320;C;12;15;201;DD;JJ;2
B738;C;12;12;35;DD;JJ;1
A321;C;12;19;439;DD;JJ;1
A320;C;12;13;49;DD;JJ;1
A320;C;12;13;56;DD;JJ;1
B722;C;12;13;70;DD;AA;1
B738;C;12;14;98;DD;JJ;1
E190;C;12;13;49;DD;JJ;1
B738;C;12;14;107;DD;JJ;1
E190;C;12;16;250;DD;JJ;1
AT72;C;12;13;75;DD;JJ;1
B737;C;12;17;269;DD;JJ;1
B738;C;12;13;49;DD;JJ;1
B738;C;12;14;77;DD;JJ;1
A320;C;12;13;36;DD;JJ;1
A320;C;13;13;41;DD;JJ;1
A320;C;13;17;275;II;JJ;2
E190;C;13;14;85;DD;JJ;1
B737;C;13;14;90;DD;JJ;1
E190;C;13;13;43;DD;JJ;1
A320;C;13;8;1146;DD;JJ;2
F100;C;13;14;62;DD;JJ;1
A320;C;13;16;220;DD;JJ;1
E190;C;13;14;43;DD;JJ;1
B738;C;13;15;124;DD;JG;1
B738;C;13;15;147;DD;JJ;1
A321;C;13;9;1219;DD;JJ;2
B738;C;13;14;74;DD;JJ;1
A320;C;13;16;172;DD;JJ;1
B738;C;13;14;58;DD;JJ;1
A320;C;13;16;182;DD;JJ;1
B737;C;13;15;125;DD;JJ;1
A320;C;13;15;95;DD;JJ;1
A320;C;13;16;146;DD;JJ;1
B76W;D;13;15;85;DD;FF;1
E190;C;13;14;63;DD;JJ;1
A320;C;13;14;56;II;JJ;1
B738;C;13;14;51;DD;JJ;1
AT72;C;14;14;34;DD;JJ;1
A320;C;14;15;110;DD;SJ;1
B737;C;14;15;85;II;JJ;1
E190;C;14;15;46;DD;JJ;1
E190;C;14;15;44;DD;JJ;1
A321;C;14;20;349;DD;JJ;2
B738;C;14;15;46;DD;JJ;1
A332;E;14;6;934;DD;FF;1
A318;C;14;15;54;DD;JJ;1
A320;C;14;15;38;DD;JJ;1
A320;C;14;15;48;DD;JJ;1
B738;C;14;15;68;ID;JJ;1
E190;C;14;15;39;DD;JJ;1
A320;C;14;17;127;DD;JJ;1
B738;C;14;17;125;DD;JJ;1
B738;C;15;17;129;DD;JJ;1
B737;C;15;16;56;DD;JJ;1
A319;C;15;16;47;DD;JJ;1
B738;C;15;17;109;DD;JJ;1
AT72;C;15;15;22;DD;JJ;1
B738;C;15;16;61;DD;JJ;1
E190;C;15;16;42;DD;JJ;1
A321;C;15;17;114;DD;JJ;1
B738;C;15;16;40;DD;JJ;1
B738;C;15;19;208;DD;JJ;1
A321;C;15;16;53;DD;JJ;1
A320;C;15;17;78;DD;JJ;1
A318;C;15;17;110;DD;JJ;1
B738;C;16;18;127;ID;JJ;1
B738;C;16;18;160;DD;JJ;1
A320;C;16;16;43;DD;JJ;1
B738;C;16;18;141;DI;JJ;2
A320;C;16;16;41;DD;JJ;1
B77L;E;16;22;352;II;JJ;3
B77L;E;16;17;95;II;JJ;1
B773;E;16;0;459;II;JJ;3
A320;C;16;17;54;DD;JJ;1
A320;C;16;17;58;DD;JJ;1
A320;C;16;17;92;DD;JJ;1
B737;C;16;17;75;DD;JG;1
A320;C;16;17;77;DD;JJ;1
A320;C;16;18;105;DD;JJ;1
B77W;E;16;18;98;II;JJ;1
E190;C;16;17;49;DD;JJ;1
A320;C;16;17;57;DD;JJ;1
E190;C;16;17;35;DD;JJ;1
B772;E;16;19;136;II;JJ;1
A332;E;16;19;128;II;JJ;1
A321;C;16;18;68;DD;JJ;1
A320;C;17;18;110;II;JJ;1
A332;E;17;18;98;II;JJ;1
B77W;E;17;19;128;II;JJ;1
AT72;C;17;18;96;DD;JJ;1
AT72;C;17;17;28;DD;JJ;1
E190;C;17;18;71;DD;JJ;1
E190;C;17;17;33;DD;JJ;1
E190;C;17;18;87;DD;JJ;1
A320;C;17;18;64;II;JJ;1
B738;C;17;19;85;DD;JJ;1
A346;E;17;22;308;II;JJ;3
B737;C;17;18;37;DD;JJ;1
B738;C;17;18;65;ID;JJ;1
AT72;C;17;18;40;DD;JJ;1
B738;C;17;20;186;ID;JJ;1
B738;C;17;19;70;DD;JJ;1
E190;C;18;18;36;DD;JJ;1
E190;C;18;18;43;DD;JJ;1
B737;C;18;19;102;ID;JJ;1
E190;C;18;18;28;DD;JJ;1
B737;C;18;19;49;DD;JJ;1
A321;C;18;20;91;DD;JJ;1
A321;C;18;19;62;DD;JJ;1
A321;C;18;9;917;DD;JJ;1
A320;C;18;19;72;DD;JJ;1
B738;C;18;20;85;DD;JJ;1
B738;C;18;20;93;ID;JJ;1
A321;C;18;0;321;DD;JJ;2
A321;C;18;20;84;DD;JJ;1
E190;C;18;19;23;DD;JJ;1
B738;C;18;20;119;DI;JJ;1
B738;C;18;20;71;DD;JJ;1
A320;C;18;19;47;DD;JJ;1
A320;C;19;19;56;DD;JJ;1
A320;C;19;19;46;DD;JJ;1
B738;C;19;19;47;DD;JJ;1
B738;C;19;20;63;DD;JJ;1
B738;C;19;21;135;DD;JJ;1
B738;C;19;1;356;II;JJ;1
A320;C;19;20;82;DD;JJ;1
B738;C;19;7;703;DD;JJ;1
AT72;C;19;19;27;DD;JJ;1
A320;C;19;20;67;II;JJ;1
B738;C;19;22;157;DD;JJ;1
B77W;E;19;23;235;II;JJ;1
A332;E;19;23;232;II;JJ;2
B738;C;19;21;91;DD;JJ;1
B738;C;19;21;92;DD;JG;1
B737;C;19;20;50;DD;JJ;1
E190;C;19;20;44;DD;JJ;1
A320;C;19;22;146;DD;JJ;1
A321;C;19;23;213;DD;JJ;1
A320;C;19;22;160;ID;JJ;1
A320;C;19;21;99;II;JJ;1
A321;C;19;15;1169;DD;JJ;2
B737;C;19;22;121;DD;JJ;1
B76W;D;20;23;235;II;JJ;1
B738;C;20;7;660;DD;JJ;2
A320;C;20;6;635;DD;JJ;1
E190;C;20;20;36;DD;JJ;1
B76W;D;20;22;165;II;JJ;1
B738;C;20;7;704;DD;JJ;1
B738;C;20;23;163;DD;JJ;1
B737;C;20;21;48;DD;JJ;1
B738;C;20;21;76;DD;JJ;1
E190;C;20;21;40;DD;JJ;1
A321;C;20;22;99;DD;JJ;1
A320;C;20;9;787;DD;JJ;1
A320;C;20;22;89;DI;JJ;1
E190;C;20;21;36;DD;JJ;2
A320;C;20;22;102;DI;JJ;1
B77W;E;20;23;177;II;JJ;1
A320;C;20;21;76;DD;JJ;1
A320;C;20;23;152;ID;JJ;1
B738;C;20;1;294;II;JJ;1
E190;C;20;21;32;DD;JJ;1
A320;C;20;23;153;DD;JJ;1
A320;C;20;22;108;DD;JJ;1
A320;C;20;21;61;DD;JG;1
A321;C;20;21;59;DD;JJ;1
AT72;C;20;21;29;DD;JJ;1
B738;C;21;23;177;DD;JJ;1
A320;C;21;21;42;DD;JJ;1
A320;C;21;23;114;DD;JJ;1
E190;C;21;7;607;DD;JJ;3
B738;C;21;11;837;II;GJ;1
B738;C;21;22;56;DI;JJ;1
E190;C;21;23;114;DD;JJ;1
A320;C;21;9;2174;DD;JJ;3
A321;C;21;7;612;DD;JJ;1
AT72;C;21;21;28;DD;JJ;1
B738;C;21;23;112;DD;JJ;1
AT72;C;21;22;43;DD;JJ;1
A320;C;21;9;737;II;JJ;2
A321;C;21;19;1292;DD;JJ;2
B738;C;21;6;545;DD;JJ;1
A320;C;21;22;49;DD;JJ;1
B737;C;21;7;593;DD;JJ;1
B737;C;21;7;591;II;JJ;3
B738;C;21;7;597;DD;JJ;1
E190;C;22;6;498;DD;JJ;1
B738;C;22;23;82;DD;JJ;1
A320;C;22;9;646;DD;JJ;1
A319;C;22;23;85;DD;GJ;1
AT72;C;22;8;601;DD;JJ;2
B738;C;22;7;548;DD;JJ;2
E190;C;22;6;476;DD;JJ;2
B737;C;22;0;106;DD;JJ;1
A321;C;22;8;553;DD;JJ;1
E190;C;22;6;441;DD;JJ;2
A318;C;22;5;372;DD;JJ;1
B738;C;23;23;59;DD;JJ;1
E190;C;23;6;463;DD;JJ;1
B788;E;23;1;133;II;JJ;1
B738;C;23;8;548;DD;JJ;2
A320;C;23;7;469;DD;JJ;1
A320;C;23;6;440;DD;JJ;1
B738;C;23;5;373;DD;JJ;1
B738;C;23;5;376;DD;JJ;1
A320;C;23;7;484;DD;JJ;1
A320;C;23;7;455;ID;JJ;2
A320;C;0;6;353;DD;JJ;2
B722;C;0;3;178;DD;MM;1
B734;C;0;3;196;DD;AA;1
A320;C;0;7;406;II;JJ;1
B734;C;0;4;211;DD;AA;1
B738;C;0;5;282;II;JJ;1
B733;C;0;2;121;DD;AA;1
B738;C;0;6;355;ID;JJ;2
B722;C;0;3;192;DD;MM;1
B734;C;0;2;118;DD;AA;1
AT72;C;0;4;198;DD;FF;1
A320;C;1;9;480;II;JJ;3
E190;C;1;6;344;DD;JJ;3
B734;C;1;2;68;DD;AA;1
B734;C;1;4;220;DD;AA;1
B76W;D;1;4;178;DD;MM;1
B77W;E;1;2;106;II;JJ;1
B77L;E;1;2;86;II;JJ;1
A318;C;1;6;299;DD;JJ;1
B722;C;1;4;172;DD;AM;1
A321;C;1;6;291;DD;JJ;1
B734;C;2;4;93;DD;MM;1
B76W;D;4;5;79;DD;FF;1
B77W;E;4;22;1063;II;JJ;3
B738;C;4;10;369;II;JJ;3
B748;F;4;18;841;II;JJ;3
A320;C;4;8;219;II;JJ;2
B738;C;4;5;72;DD;JJ;1
B77W;E;4;23;1112;II;JJ;3
A332;E;5;14;568;II;JJ;3
B76W;D;5;7;171;II;JJ;1
B738;C;5;8;190;DD;JJ;1
B77W;E;5;7;136;II;JJ;1
B744;E;5;16;651;II;JJ;3
B738;C;5;6;95;DD;JJ;1
B76W;D;5;14;562;II;JJ;3
B772;E;5;14;564;II;JJ;3
B77W;E;5;11;326;II;JJ;2
B77W;E;5;15;603;II;JJ;3
B738;C;5;8;153;II;JJ;1
A332;E;5;6;62;II;JJ;1
A332;E;5;8;152;II;JJ;1
B737;C;5;8;161;DD;JJ;1
A346;E;5;16;653;II;JJ;3
A321;C;6;8;149;DD;JJ;1
A320;C;6;7;109;DD;JJ;1
A332;E;6;23;1035;II;JJ;3
B738;C;6;7;60;DD;JJ;1
A321;C;6;9;171;DD;JJ;1
A320;C;6;8;114;DD;JJ;1
B76W;D;6;12;359;ID;JJ;3
B738;C;6;12;340;II;JJ;3
A320;C;6;7;71;DI;JJ;1
A321;C;6;8;125;DD;JJ;1
B737;C;6;8;77;DD;JJ;1
A320;C;6;7;56;DD;JJ;1
B738;C;6;10;210;DI;JJ;2
B738;C;7;9;120;DD;JJ;1
B77W;E;7;21;863;II;JJ;3
AT72;C;7;7;35;DD;JJ;1
A320;C;7;8;91;DD;JJ;1
A319;C;7;8;87;DD;JJ;1
A320;C;7;9;121;DD;JJ;1
A320;C;7;8;59;DD;JJ;1
AT72;C;7;8;44;DD;JJ;1
A320;C;7;8;46;DD;JJ;1
B738;C;7;9;118;DD;JJ;1
A321;C;7;10;209;DD;JJ;1
E190;C;7;8;40;DD;JJ;1
B76W;D;7;8;44;II;FF;1
E190;C;7;8;41;DD;JJ;1
B738;C;7;9;85;DD;JJ;1
A320;C;7;13;333;DD;JJ;1
E190;C;8;8;39;DD;JJ;1
B738;C;8;9;79;DD;JJ;1
E190;C;8;8;48;DD;JJ;1
B738;C;8;9;78;DD;JJ;1
AT72;C;8;9;42;DD;JJ;1
A320;C;8;11;158;II;JJ;1
B76W;D;8;10;137;II;JJ;1
A320;C;8;9;43;DD;JJ;1
B737;C;8;11;190;DI;JG;2
B738;C;8;10;77;DD;JJ;1
B737;C;8;9;66;DD;JJ;1
B738;C;8;9;48;DD;JJ;1
B738;C;8;11;123;ID;JJ;1
E190;C;9;9;42;DD;JJ;1
A321;C;9;10;96;DD;JJ;1
B737;C;9;10;71;DD;JJ;1
A320;C;9;10;72;DD;JJ;1
A320;C;9;10;105;II;JJ;1
E190;C;9;10;45;DD;JJ;1
B772;E;9;22;781;II;JJ;3
E190;C;9;10;40;DD;JJ;1
A320;C;9;10;79;ID;JJ;1
B738;C;9;10;67;DD;JJ;1
A321;C;9;11;93;DD;JJ;1
E190;C;9;10;41;DD;JJ;1
B738;C;9;13;203;DI;JJ;2
B738;C;9;11;126;II;JJ;1
B738;C;9;11;93;DD;JJ;1
B738;C;9;10;58;DD;JJ;1
B738;C;9;10;64;DD;JJ;1
A320;C;9;11;122;DD;JJ;1
B737;C;9;10;45;II;JJ;1
B738;C;10;12;133;DI;JJ;1
B738;C;10;11;75;DD;JJ;1
A321;C;10;12;133;DD;JJ;1
A320;C;10;11;47;DD;JJ;1
A320;C;10;11;52;DD;JJ;1
B738;C;10;11;69;DD;JG;1
E190;C;10;11;58;DD;JJ;1
A320;C;10;12;96;DD;JJ;1
B738;C;10;12;86;DD;JJ;1
AT72;C;10;11;22;DD;JJ;1
E190;C;10;11;45;DD;JJ;1
B737;C;10;12;77;DI;JJ;1
A320;C;10;11;41;DD;JJ;1
A320;C;10;12;110;II;JJ;1
A320;C;10;15;274;DD;JJ;1
B737;C;11;14;212;DD;JJ;1
A320;C;11;13;118;DD;JJ;1
E190;C;11;12;54;DD;JJ;1
B738;C;11;15;261;DD;JJ;2
A319;C;11;12;71;DD;JJ;1
A321;C;11;13;107;DD;JJ;1
E190;C;11;12;59;DD;JJ;1
B738;C;11;15;259;DD;JJ;3
B772;E;11;22;680;II;JJ;3
A321;C;11;13;113;DD;JJ;1
A320;C;11;14;170;DD;JJ;1
B788;E;11;16;278;II;JJ;1
AT72;C;11;12;35;DD;JJ;1
E190;C;11;12;29;DD;JJ;1
B738;C;11;14;136;DD;JJ;1
A320;C;12;6;1120;DD;JJ;1
AT72;C;12;12;24;DD;JJ;1
A321;C;12;13;70;DD;JJ;1
A320;C;12;23;674;DD;JJ;1
A320;C;12;13;65;DD;JJ;1
A318;C;12;12;40;DD;JJ;1
A321;C;12;13;103;DD;JJ;1
B738;C;12;13;101;DD;JJ;1
A320;C;12;13;55;DD;JJ;1
A320;C;12;15;206;DD;JJ;1
B738;C;12;13;69;DD;JJ;1
B738;C;12;13;74;DD;JJ;1
B738;C;12;14;108;DD;JJ;1
A320;C;12;16;238;DD;JJ;2
AT72;C;12;13;73;DD;JJ;1
A320;C;12;13;51;DD;JJ;1
E190;C;12;13;54;DD;JJ;1
E190;C;12;16;218;DD;JJ;1
A321;C;12;15;166;DD;JJ;1
B738;C;12;13;56;DD;JJ;1
B738;C;12;14;87;DD;JJ;1
A320;C;12;17;269;II;JJ;1
A320;C;13;15;137;DD;JJ;1
A320;C;13;13;47;DD;JJ;1
F100;C;13;14;65;DD;JJ;1
A320;C;13;16;189;DD;JJ;1
E190;C;13;14;75;DD;JJ;1
E190;C;13;13;40;DD;JJ;1
B738;C;13;14;60;DD;JJ;1
B772;E;13;15;149;II;JJ;1
B738;C;13;16;173;DD;JJ;1
E190;C;13;14;40;DD;JJ;1
B738;C;13;15;117;DD;JG;1
A320;C;13;18;314;II;JJ;2
A321;C;13;16;185;DD;JJ;2
A320;C;13;17;204;DD;JJ;1
A320;C;13;14;66;DD;JJ;1
B737;C;13;16;136;DD;JJ;1
A320;C;13;15;94;DD;JJ;1
B76W;D;13;4;910;DD;FF;3
E190;C;13;14;48;DD;JJ;1
A320;C;13;23;558;DD;JJ;2
A318;C;14;15;64;DD;JJ;1
A321;C;14;16;124;DD;JJ;1
B738;C;14;14;47;DD;JJ;1
E190;C;14;14;45;DD;JJ;1
E190;C;14;14;43;DD;JJ;1
B738;C;14;15;53;DD;JJ;1
B738;C;14;20;374;II;JJ;2
A320;C;14;17;168;II;SJ;1
A320;C;14;17;150;DD;JJ;2
E190;C;14;15;47;DD;JJ;1
B733;C;14;15;44;II;JJ;1
A332;E;14;5;857;DD;FF;1
A320;C;14;16;70;DD;JJ;1
B738;C;15;15;51;DD;JJ;1
B738;C;15;16;84;DD;JJ;1
B738;C;15;17;123;DD;JJ;1
B738;C;15;16;68;DD;JJ;1
B738;C;15;15;46;DD;JJ;1
A319;C;15;16;50;DD;JJ;1
AT72;C;15;15;26;DD;JJ;1
B738;C;15;16;90;DD;JJ;1
AT72;C;15;15;27;DD;JJ;1
B737;C;15;16;53;DD;JJ;1
E190;C;15;16;52;DD;JJ;1
A321;C;15;17;113;DD;JJ;1
B788;E;15;2;653;II;JJ;3
B763;D;15;19;238;II;JJ;3
B738;C;15;17;93;DD;JJ;1
A320;C;15;19;244;DD;JJ;2
B737;C;15;18;138;DD;JJ;2
A320;C;15;17;84;DD;JJ;1
B738;C;16;17;60;DD;JJ;1
A320;C;16;16;47;DD;JJ;1
B738;C;16;18;159;DD;JJ;1
A318;C;16;17;83;DD;JJ;1
B77L;E;16;22;357;II;JJ;3
B738;C;16;17;67;ID;JJ;1
B773;E;16;0;470;II;JJ;3
B77L;E;16;17;92;II;JJ;1
A320;C;16;17;72;DD;JJ;1
A320;C;16;17;66;DD;JJ;1
B738;C;16;18;119;DI;JJ;1
E190;C;16;17;42;DD;JJ;1
A320;C;16;17;65;DD;JJ;1
E190;C;16;17;44;DD;JJ;1
B77W;E;16;18;95;II;JJ;1
A321;C;16;18;76;DD;JJ;1
A332;E;16;18;104;II;JJ;1
B772;E;17;19;123;II;JJ;1
A320;C;17;18;82;DD;JJ;1
AT72;C;17;18;95;DD;JJ;1
B772;E;17;19;122;II;JJ;1
A320;C;17;19;109;II;JJ;1
A320;C;17;8;915;DD;JJ;2
AT72;C;17;17;28;DD;JJ;1
E190;C;17;17;32;DD;JJ;1
A320;C;17;20;174;II;JJ;1
B738;C;17;19;105;DD;JJ;1
B738;C;17;18;84;ID;JJ;1
B737;C;17;18;31;DD;JG;1
A346;E;17;23;329;II;JJ;3
AT72;C;17;18;39;DD;JJ;1
E190;C;17;18;49;DD;JJ;1
B738;C;17;19;110;ID;JJ;1
E190;C;17;18;48;DD;JJ;1
B772;E;17;20;162;II;JJ;1
A321;C;18;20;128;DD;JJ;1
B737;C;18;19;90;DD;JJ;1
E190;C;18;19;50;DD;JJ;1
B738;C;18;20;117;ID;JJ;1
A321;C;18;23;287;DD;JJ;1
B737;C;18;20;131;ID;JJ;1
E190;C;18;19;38;DD;JJ;1
A320;C;18;19;60;DD;JJ;1
A319;C;18;19;72;DD;JJ;1
B738;C;18;19;78;DD;JJ;1
A321;C;18;10;945;DD;JJ;2
B738;C;18;20;86;ID;JJ;1
A320;C;18;19;61;DD;JJ;1
A321;C;18;20;99;DD;JJ;1
E190;C;18;19;30;DD;JJ;1
A320;C;18;19;60;DD;JJ;1
B738;C;18;19;63;DD;GJ;1
A320;C;19;20;91;DD;JJ;1
B738;C;19;20;78;DD;JJ;1
B738;C;19;21;117;DD;JG;1
B738;C;19;20;60;DD;JJ;1
A320;C;19;20;109;II;JJ;1
B77W;E;19;23;247;II;JJ;1
B737;C;19;21;156;DD;JJ;1
B738;C;19;1;381;II;JJ;2
AT72;C;19;19;28;DD;JJ;1
A332;E;19;22;182;II;JJ;1
B738;C;19;20;81;DI;JJ;1
B737;C;19;0;296;DD;JJ;2
B738;C;19;20;71;DD;JJ;1
B76W;D;19;0;272;II;JJ;1
A321;C;19;21;123;DD;JJ;1
B737;C;19;23;259;ID;GJ;2
A320;C;19;21;133;DD;JG;1
A320;C;19;22;146;II;JJ;1
B77W;E;19;22;173;II;JJ;1
E190;C;19;20;42;DD;JJ;1
B76W;D;20;22;163;II;JJ;1
B738;C;20;21;86;DD;JJ;1
B737;C;20;21;71;DD;JJ;1
A321;C;20;22;118;DD;JJ;1
E190;C;20;20;41;DD;JJ;1
B738;C;20;22;118;DI;JJ;2
E190;C;20;20;37;DD;JJ;1
A320;C;20;22;134;II;JJ;1
B738;C;20;21;83;DD;JJ;1
B738;C;20;22;98;DD;JJ;1
B738;C;20;21;43;DD;JJ;1
E190;C;20;21;43;DD;JJ;1
E190;C;20;21;46;DD;JJ;1
A321;C;20;23;182;DD;JJ;1
A320;C;20;7;669;II;JJ;2
B738;C;20;1;306;II;JJ;1
A320;C;20;22;87;DD;JJ;1
A320;C;20;23;141;DD;JJ;1
A320;C;20;21;47;DD;JJ;1
B738;C;20;22;109;DD;JJ;1
A320;C;20;22;95;DD;JJ;1
E190;C;21;23;135;DD;JJ;1
A321;C;21;8;687;DD;JJ;1
A320;C;21;22;111;DD;JJ;1
A321;C;21;0;198;DD;JJ;1
A332;E;21;22;91;II;JJ;1
A320;C;21;21;44;DD;JJ;1
A321;C;21;22;58;DD;JJ;1
E190;C;21;6;579;DD;JJ;3
A320;C;21;23;106;DD;JJ;1
B76W;D;21;11;861;DD;JJ;2
AT72;C;21;21;26;DD;JJ;1
B738;C;21;0;204;DD;JJ;1
A320;C;21;22;74;DD;JJ;1
B738;C;21;22;83;DD;JJ;1
AT72;C;21;22;52;DD;JJ;1
A320;C;21;22;62;DD;JJ;1
A320;C;21;7;570;II;JJ;2
AT72;C;21;22;22;DD;JJ;1
B738;C;21;23;99;DD;JJ;1
A321;C;21;7;561;DD;JJ;1
A320;C;21;3;358;II;JJ;2
B738;C;21;23;103;DD;JJ;1
E190;C;22;6;518;DD;JJ;3
B738;C;22;9;663;DD;JJ;2
B737;C;22;8;587;DD;JJ;1
AT72;C;22;8;618;DD;JJ;3
A319;C;22;0;106;DD;JJ;1
B738;C;22;23;56;DD;JJ;1
E190;C;22;6;467;DD;JJ;3
B737;C;22;5;425;II;JJ;3
E190;C;22;6;439;DD;JJ;3
A318;C;22;5;370;DD;JJ;1
B738;C;22;8;557;DI;JJ;2
B738;C;22;23;61;DD;JJ;1
B738;C;23;8;539;DD;JJ;2
A321;C;23;8;548;DD;JJ;1
A319;C;23;1;118;II;JJ;1
B738;C;23;6;448;DD;JJ;1
A320;C;23;7;456;DD;JJ;1
A321;C;23;6;427;DD;JJ;2
